2024-03-24 16:39:57 [INFO]: Time elapsed: 402.26 seconds, FPS: 13.67
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML  FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       47.4% 71.6% 35.4% 42.7%  86.3%  26  4  12  10 485  4085  58   604 35.1% 0.188  12  31   2
KITTI-13       29.5% 51.7% 20.7% 32.0%  80.0%  24  3   8  13  12   102  10     9 17.3% 0.208   6   6   2
KITTI-17       44.9% 83.1% 30.8% 34.4%  92.9%   9  0   6   3  11   273   9    62 29.6% 0.223   6   6   3
ETH-Bahnhof    38.0% 76.7% 25.3% 31.8%  96.4% 214  4  86 124  54  3111  96   565 28.5% 0.180  50  58  35
ETH-Sunnyday   51.0% 92.5% 35.2% 37.8%  99.3%  30  1  13  16   3   721  18   142 36.0% 0.156   6  12   3
PETS09-S2L1    29.5% 58.7% 19.7% 32.5%  97.0%  19  1  11   7  37  2448  47   512 30.2% 0.268   4  44   1
TUD-Campus     24.8% 67.6% 15.2% 22.4% 100.0%   8  0   4   4   0   128   2    10 21.2% 0.161   3   0   2
TUD-Stadtmitte 40.0% 93.7% 25.4% 27.1% 100.0%  10  0   7   3   0   686   7    86 26.4% 0.231   5   3   1
ADL-Rundle-6   61.4% 86.9% 47.4% 52.8%  96.7%  24  6  15   3  91  2365  29   267 50.4% 0.182  10  14   3
ADL-Rundle-8   56.5% 89.6% 41.3% 44.0%  95.5%  28  6  12  10 140  3799  14   675 41.7% 0.206   6  11   4
ETH-Pedcross2  31.5% 88.9% 19.2% 21.5%  99.8% 144  0  30 114   2  4154  43   387 20.7% 0.199  30  23  17
OVERALL        46.2% 80.4% 32.4% 37.9%  94.1% 536 25 204 307 835 21872 333  3319 34.6% 0.198 138 208  73
